ID,Finding Name,Category,Severity,Detection,Customer Explanation,Fix Prompt — Lovable,Fix Prompt — Bolt,Fix Prompt — Generic,Notes
FL-001,Generic 'Your Company Name' left in headers/footers,Placeholders & forgotten content,High,"regex: /your\s+(company|business|brand)\s+name/i","Your site still shows ""Your Company Name"" instead of your actual product name. This is one of the first things visitors notice — it signals ""this isn't finished.""","On every page, find any instance of 'Your Company Name' or similar placeholder text in headers, footers, navigation, and metadata. Replace with the actual product name: {ACTUAL_NAME}. Don't change any code structure or styling — only the visible text.","Search the entire codebase for placeholder text like 'Your Company Name' and replace with '{ACTUAL_NAME}'. Update headers, footers, page titles, and meta tags. Preserve all other code.","Find any instance of 'Your Company Name' or similar placeholder text and replace with the actual product name: {ACTUAL_NAME}. Check headers, footers, navigation, and metadata.",
FL-002,Lorem ipsum still visible,Placeholders & forgotten content,High,"regex: /lorem\s+ipsum|consectetur\s+adipiscing/i","There's lorem ipsum placeholder text still showing on your site. Visitors will recognize it immediately.",,,"Find any lorem ipsum or placeholder paragraph text on the site and replace it with real content. The content should be about: {ONE_LINE_DESCRIPTION}. Keep paragraphs roughly the same length as the placeholders.",
FL-003,Default platform copy (Lovable starter text),Placeholders & forgotten content,High,"manual: Look for known Lovable starter phrases like 'Your AI-powered web application,' 'Welcome to your new app,' 'Get started by editing'","Some of Lovable's default starter copy is still on your homepage. Visitors who've seen other Lovable apps will recognize it.","Replace any default Lovable starter copy on the homepage with content specific to my app. My app is {ONE_LINE_DESCRIPTION}. Write a real hero headline, subheadline, and CTA. Keep the visual layout the same.",,,"Build per-platform default-copy detection lists as patterns are observed."
FL-004,"""[Insert X here]"" brackets",Placeholders & forgotten content,High,"regex: /\[insert\s+\w+|\[your\s+\w+|\[add\s+\w+/i","There are template instructions like ""[Insert tagline here]"" still visible on the page. These are meant to be replaced before launch.",,,"Find any text in square brackets that looks like a template instruction (e.g., '[Insert tagline]', '[Your value prop]'). Replace each with actual content based on the surrounding context.",
FL-005,TODO/FIXME comments rendered to users,Placeholders & forgotten content,Medium,"regex: /\bTODO\b|\bFIXME\b/","Internal developer notes (""TODO: add real description"") are showing up on the live site as actual user-facing text.",,,"Find any visible 'TODO' or 'FIXME' text on the live site and replace with the real content the note was asking for. Use the surrounding context to figure out what should be there.","Detect only visible text, not code comments. False positive risk: legitimate ""TODO"" in a real to-do app's UI."
FL-006,Placeholder email addresses,Placeholders & forgotten content,Critical,"regex: /(support|hello|info|contact)@(example|yourdomain|domain|test)\.com/i","Your contact/support email is still a placeholder like support@example.com. Visitors who try to reach you will bounce.",,,"Find every instance of placeholder email addresses (anything @example.com, @yourdomain.com, @test.com) and replace with the real support email: {ACTUAL_EMAIL}. Check footer, contact page, mailto: links, and any 'help' or 'support' sections.",
FL-007,"""Acme Inc"" / ""Example Corp"" default company",Placeholders & forgotten content,High,"regex: /acme|example\s+(corp|inc|company|llc)/i","References to ""Acme Inc"" or ""Example Corp"" are still showing up. These are default placeholder company names.",,,"Replace any references to 'Acme', 'Example Corp', or similar placeholder company names with the actual product name: {ACTUAL_NAME}.","'Acme' can be a legitimate brand name — verify before flagging."
FL-008,Missing /privacy page,Trust pages & legal,High,"http: GET /privacy, /privacy-policy returns 404","Your site has no privacy policy page. Most users — and almost certainly the App Store, payment processors, and ad platforms — expect one.",,,"Add a /privacy route with a basic privacy policy page. Include sections for: what data we collect, how we use it, how we share it (or don't), data retention, user rights, and contact info. Use {ACTUAL_EMAIL} for the contact section. Link to it from the footer.","Bump to Critical if the app collects any user data."
FL-009,Missing /terms page,Trust pages & legal,High,"http: 404 on /terms, /terms-of-service, /tos","Your site has no Terms of Service. Users have nothing to agree to, and payment processors usually require one.",,,"Add a /terms route with basic Terms of Service. Include sections for: acceptance of terms, service description, user obligations, prohibited uses, termination, disclaimers, and contact info. Link from the footer.",
FL-010,Missing /contact or contact info,Trust pages & legal,Medium,"manual: No visible contact email, no /contact page, no contact form","Visitors can't easily find how to contact you. This hurts trust and conversion.",,,"Add a visible way for users to contact me. Either add a /contact page with an email address ({ACTUAL_EMAIL}) and optional contact form, or put a clear support email in the footer of every page.",
FL-011,Buttons that do nothing on click,Broken functionality,Critical,"manual: Click each visible button, observe DOM/navigation","The ""{BUTTON_NAME}"" button doesn't do anything when clicked. Users will think the site is broken.",,,"The {BUTTON_NAME} button on {PAGE} is not working — it appears clickable but does nothing when clicked. Investigate why and fix it so it performs its intended action: {EXPECTED_BEHAVIOR}. Don't change the button's appearance.",
FL-012,Broken internal links (404s),Broken functionality,High,"http: Crawl all <a href> values, check status codes","Some internal links lead to ""page not found"" errors. Specifically: {LIST_OF_BROKEN_LINKS}.",,,"Fix these broken internal links: {LIST}. For each link, either point it to the correct page if it exists, or create the missing page, or remove the link entirely if no longer needed.",
FL-013,Forms that don't submit,Broken functionality,Critical,"manual: Fill out form with test data, click submit, observe network tab and DOM","The {FORM_NAME} form doesn't actually submit. Users fill it out, click submit, and nothing happens.",,,"The {FORM_NAME} form on {PAGE} doesn't work — when users fill it out and click submit, nothing happens. Fix the form so submissions are saved or sent properly. {SPECIFIC_BEHAVIOR_NEEDED}.","Crawler must NEVER submit forms automatically. Manual-only detection."
FL-014,Forms submit with no confirmation,Broken functionality,Medium,"manual: Submit form, observe whether user receives any confirmation","When users submit the {FORM_NAME} form, they don't get any confirmation that it worked. They'll wonder if it submitted at all.",,,"After the {FORM_NAME} form submits, show a clear success message or redirect to a confirmation page. The user needs to know their submission worked.",
FL-015,Console errors on page load,Broken functionality,Medium,"manual: Open DevTools, load page, capture all console errors","Your browser shows {N} errors when the page loads. Some of these might be causing features to fail.",,,"These JavaScript errors appear in the console when {PAGE} loads: {ERROR_LIST}. Investigate each and fix the underlying cause. Don't suppress errors — fix them.","Bump to High if functional features depend on the failing code."
FL-016,Failed network requests (4xx/5xx),Broken functionality,High,"manual: Open Network tab, load page, filter for non-2xx responses","When the page loads, some background requests are failing: {REQUEST_LIST}. Features depending on these requests will be broken.",,,"These network requests are failing on {PAGE}: {LIST_WITH_STATUS_CODES}. Investigate each and fix the underlying issue — wrong URL, missing endpoint, auth failure, etc.",
